Date,Type A count,Type B count,Type C count,Type D count,Type E count
1996/01,0,2,4,0,0
1996/02,0,4,8,3,0
1996/03,0,3,12,2,0
1996/04,0,9,10,5,0
1996/05,0,3,15,9,0
1996/06,0,1,8,5,0
1996/07,0,2,6,11,0
1996/08,0,1,20,10,1
1996/09,0,1,13,1,0
1996/10,0,3,11,5,0
1996/11,0,1,17,6,1
1996/12,0,5,33,11,0
1997/01,0,1,18,5,0
1997/02,0,2,23,10,1
1997/03,0,1,15,6,0
1997/04,0,2,23,13,1
1997/05,0,1,19,20,0
1997/06,0,1,24,13,0
1997/07,0,1,29,12,0
1997/08,0,2,25,15,0
1997/09,0,5,21,30,1
1997/10,0,1,29,22,3
1997/11,0,0,26,26,5
1997/12,0,0,27,22,1
1998/01,0,1,29,31,3
1998/02,0,0,34,42,0
1998/03,0,0,26,36,4
1998/04,0,1,30,45,8
1998/05,0,3,18,62,17
1998/06,0,3,27,57,13
1998/10,0,0,10,17,1
1998/11,0,1,37,52,8
1998/12,0,2,48,29,1
1999/02,0,2,32,30,0
1999/03,0,2,37,53,0
1999/04,0,0,40,69,5
1999/05,0,0,33,74,10
1999/06,0,1,44,92,14
1999/07,0,3,41,99,9
1999/08,0,0,40,83,8
1999/09,0,0,25,80,14
1999/10,0,0,30,57,4
1999/11,0,1,37,60,2
1999/12,0,3,44,52,6
2000/01,0,1,39,58,8
2000/02,0,0,26,86,10
2000/03,0,0,34,112,7
2000/04,0,1,37,83,7
2000/05,0,0,25,100,14
2000/06,0,0,27,98,16
2000/07,0,0,31,88,12
2000/08,0,1,38,106,10
2000/09,0,0,37,93,9
2000/10,0,1,39,56,9
2000/11,0,1,30,96,17
2000/12,0,0,31,65,8
2001/01,0,1,35,74,11
2001/02,0,0,27,61,6
2001/03,0,4,38,117,7
2001/04,0,1,23,78,32
2001/05,0,0,45,108,7
2001/06,0,0,36,71,20
2001/07,0,0,18,44,2
2001/08,0,0,41,79,5
2001/09,0,3,44,115,13
2001/10,0,0,36,108,13
2001/11,0,0,21,56,9
2001/12,0,0,38,68,14
2002/01,0,3,46,56,9
2002/02,0,1,21,50,6
2002/03,0,1,45,99,16
2002/04,0,0,39,104,13
2002/05,0,0,35,84,20
2002/06,0,1,33,50,6
2002/07,0,1,27,83,23
2002/08,0,0,30,97,17
2002/09,0,1,30,107,8
2002/10,0,0,24,112,22
2002/11,0,0,19,66,12
2002/12,0,0,19,41,10
2003/01,0,0,45,68,7
2003/02,0,1,19,50,6
2003/03,0,0,32,58,8
2003/04,0,0,33,84,10
2003/05,0,0,30,66,9
2003/06,0,0,11,38,13
2003/07,0,0,24,26,0
2003/08,0,0,23,39,1
2003/09,0,2,19,45,4
2003/10,0,0,15,55,20
2003/11,0,0,14,34,22
2003/12,0,0,16,26,1
2004/01,0,0,14,40,10
2004/02,0,3,25,38,2
2004/03,0,0,34,37,2
2004/04,0,1,24,47,5
2004/05,0,1,52,56,1
2004/06,0,4,27,50,3
2004/07,0,0,26,62,10
2004/08,0,1,20,35,2
