Date,Type A count,Type B count,Type C count,Type D count,Type E count
1996/01,2,3,1,0,0
1996/02,7,5,3,0,0
1996/03,11,4,1,1,0
1996/04,14,5,5,0,0
1996/05,10,8,6,3,0
1996/06,7,2,4,1,0
1996/07,5,3,6,5,0
1996/08,7,14,7,3,1
1996/09,9,4,2,0,0
1996/10,9,5,3,2,0
1996/11,5,13,3,3,1
1996/12,21,17,8,3,0
1997/01,9,10,5,0,0
1997/02,13,12,7,3,1
1997/03,9,7,4,2,0
1997/04,10,15,10,3,1
1997/05,6,14,15,5,0
1997/06,7,18,11,2,0
1997/07,5,24,7,5,1
1997/08,15,12,13,2,0
1997/09,10,16,19,11,1
1997/10,10,19,12,9,5
1997/11,3,23,12,14,5
1997/12,6,21,18,4,1
1998/01,10,20,21,10,3
1998/02,14,19,35,8,0
1998/03,8,16,22,16,4
1998/04,8,23,23,21,9
1998/05,8,13,33,27,19
1998/06,9,20,28,30,13
1998/10,2,8,7,10,1
1998/11,3,33,37,17,8
1998/12,14,35,25,5,1
1999/02,11,22,19,11,1
1999/03,5,32,40,15,0
1999/04,12,27,50,20,5
1999/05,8,25,49,25,10
1999/06,10,34,52,41,14
1999/07,8,36,61,37,10
1999/08,6,32,55,29,9
1999/09,4,20,36,44,15
1999/10,8,21,34,24,4
1999/11,8,29,40,20,3
1999/12,11,35,37,16,6
2000/01,9,29,35,25,8
2000/02,3,21,53,35,10
2000/03,5,26,75,40,7
2000/04,5,33,55,28,7
2000/05,7,18,54,46,14
2000/06,3,24,54,44,16
2000/07,1,30,37,51,12
2000/08,7,31,69,36,12
2000/09,4,30,62,34,9
2000/10,11,28,28,29,9
2000/11,5,26,53,42,18
2000/12,9,21,31,35,8
2001/01,8,28,49,25,11
2001/02,8,19,33,27,7
2001/03,9,32,68,50,7
2001/04,6,17,41,38,32
2001/05,6,36,64,46,8
2001/06,3,31,45,25,23
2001/07,3,15,25,19,2
2001/08,7,34,51,27,6
2001/09,11,33,72,44,15
2001/10,4,31,57,51,14
2001/11,1,19,35,22,9
2001/12,6,32,41,27,14
2002/01,12,37,33,23,9
2002/02,6,16,27,23,6
2002/03,9,35,58,41,18
2002/04,6,30,59,48,13
2002/05,3,31,38,45,22
2002/06,12,22,32,18,6
2002/07,8,19,48,36,23
2002/08,5,24,61,36,18
2002/09,6,23,67,41,9
2002/10,6,15,57,58,22
2002/11,3,16,36,30,12
2002/12,2,17,26,15,10
2003/01,4,39,51,19,7
2003/02,7,12,27,24,6
2003/03,15,17,40,18,8
2003/04,4,28,52,33,10
2003/05,4,26,41,25,9
